@relation text_lineSpamDetection

@attribute fn_CharCount numeric

@attribute fn_CurrencySymbol_count numeric

@attribute fn_NumStr_count numeric

@attribute fn_TermFreq numeric

@attribute class {spam, ham}

@Data
154,1,9,1,spam
167,2,12,1,spam
164,0,8,2,spam
173,1,9,1,spam
163,1,4,2,spam
167,0,6,2,spam
178,0,2,2,spam
150,2,11,1,spam
163,0,9,2,spam
149,1,9,1,spam
166,0,7,1,spam
160,0,8,3,spam
144,0,2,4,spam
125,0,4,3,spam
158,1,9,2,spam
96,0,1,3,spam
75,1,4,1,spam
164,1,2,3,spam
179,0,6,3,spam
125,1,7,1,spam
147,0,3,1,spam
167,0,11,2,spam
141,1,3,2,spam
71,0,3,1,spam
84,0,1,1,spam
120,1,3,2,spam
167,1,2,3,spam
120,0,4,3,spam
136,2,4,2,spam
75,0,5,1,spam
150,0,1,2,spam
154,2,4,2,spam
165,1,5,1,spam
112,0,2,1,spam
168,2,8,1,spam
166,2,8,1,spam
111,0,2,1,spam
121,0,5,1,spam
168,2,5,1,spam
166,1,7,2,spam
166,0,10,1,spam
165,0,2,2,spam
160,0,2,2,spam
107,0,1,1,spam
122,0,1,2,spam
167,0,6,2,spam
150,1,10,1,spam
181,2,4,2,spam
136,0,1,2,spam
162,0,3,2,spam
110,1,4,2,spam
140,1,2,2,spam
166,1,4,2,spam
162,2,3,2,spam
163,0,2,3,spam
124,2,5,2,spam
142,0,9,3,spam
162,1,4,2,spam
162,1,5,1,spam
160,2,6,2,spam
163,2,5,3,spam
142,0,2,2,spam
171,0,10,2,spam
156,2,8,1,spam
116,0,3,1,spam
78,0,1,1,spam
155,1,4,2,spam
167,1,5,2,spam
157,1,7,2,spam
165,2,12,1,spam
150,0,5,2,spam
153,0,8,2,spam
164,0,7,2,spam
165,0,10,2,spam
161,0,4,3,spam
143,2,7,1,spam
146,0,4,2,spam
137,1,5,2,spam
105,0,3,1,spam
158,1,9,1,spam
153,2,7,1,spam
151,1,5,3,spam
130,0,2,3,ham
32,0,0,1,ham
126,0,0,1,ham
126,0,2,1,ham
166,0,6,3,ham
143,0,1,2,ham
149,0,1,2,ham
156,1,5,2,ham
125,0,0,2,ham
25,0,0,1,ham
36,0,0,1,ham
138,0,4,2,ham
134,0,2,2,ham
132,0,2,2,ham
82,0,0,1,ham
34,0,0,2,ham
111,0,0,1,ham
158,0,0,1,ham
90,0,2,1,ham
166,0,1,2,ham
40,0,1,1,ham
90,0,0,2,ham
9,0,1,1,ham
96,0,2,2,ham
162,0,3,2,ham
93,0,2,2,ham
131,0,1,2,ham
89,0,1,2,ham
86,0,2,5,ham
45,0,0,1,ham
94,0,2,2,ham
120,0,0,3,ham
127,0,3,2,ham
107,0,0,1,ham
54,0,2,1,ham
95,0,0,1,ham
75,0,0,1,ham
35,0,0,1,ham
88,0,0,1,ham
31,0,0,1,ham
168,0,3,3,ham
54,0,2,1,ham
93,0,1,2,ham
87,0,0,1,ham
134,0,0,1,ham
157,0,0,2,ham
159,0,1,1,ham
163,0,0,2,ham
130,0,0,3,ham
131,0,1,2,ham
147,0,2,3,ham
115,0,2,2,ham
131,0,2,2,ham
139,0,2,2,ham
134,0,2,2,ham
40,0,0,1,ham
108,0,0,1,ham
76,0,1,1,ham
58,0,0,1,ham
166,0,4,1,ham
56,0,1,1,ham
61,0,0,1,ham
31,0,0,1,ham
70,0,0,1,ham
125,0,3,3,ham
102,0,0,3,ham
20,0,0,1,ham
158,0,2,2,ham
136,0,2,2,ham
67,0,0,1,ham
59,0,1,2,ham
34,0,1,1,ham
61,0,0,2,ham
90,0,0,2,ham
36,0,1,1,ham
28,0,0,1,ham
94,0,2,1,ham
121,0,0,2,ham
147,0,3,3,ham
62,0,2,2,ham
73,0,0,2,ham
95,0,0,3,ham
22,0,1,1,ham
86,0,0,2,ham
133,0,0,2,ham
123,0,1,2,ham
132,0,3,2,ham
136,0,0,3,ham
24,0,0,1,ham
133,0,0,2,ham
118,0,0,2,ham
112,0,0,2,ham
162,0,0,2,ham
134,0,0,1,ham
124,0,1,3,ham
56,0,1,1,ham
63,0,2,2,ham
165,0,3,1,ham
113,0,0,2,ham
100,0,0,2,ham
143,0,1,3,ham
80,0,0,1,ham
121,0,1,2,ham
160,0,0,2,ham
18,0,1,1,ham
155,0,1,1,ham
123,0,2,1,ham
157,0,3,2,ham
101,0,0,2,ham
99,0,0,1,ham
143,0,2,1,ham
75,0,0,2,ham
76,0,0,1,ham
61,0,1,2,ham
91,0,2,3,ham
23,0,0,1,ham
112,0,0,3,ham
40,0,0,1,ham
147,0,2,4,ham
157,0,4,2,ham
100,0,3,3,ham
89,0,1,2,ham
31,0,1,1,ham
11,0,0,1,ham
25,0,1,2,ham
166,0,3,3,ham
30,0,1,1,ham
50,0,0,1,ham
99,0,2,2,ham
49,0,0,1,ham
59,0,1,3,ham
37,0,0,1,ham
112,0,3,2,ham
32,0,0,1,ham
64,0,0,1,ham
82,0,1,2,ham
20,0,0,1,ham
164,0,1,2,ham
131,0,0,2,ham
60,0,0,2,ham
134,0,0,1,ham
112,0,4,2,ham
80,0,3,2,ham
164,0,1,2,ham
153,0,0,2,ham
107,0,1,2,ham
29,0,0,3,ham
162,1,4,2,ham
20,0,0,1,ham
164,0,0,8,ham
163,0,0,3,ham
153,0,1,2,ham
51,0,0,1,ham
102,0,0,1,ham
87,0,3,2,ham
45,0,0,1,ham
47,0,0,1,ham
39,0,0,1,ham
50,0,0,1,ham
102,0,2,1,ham
102,0,0,2,ham
143,0,1,2,ham
120,0,1,2,ham
31,0,2,1,ham
67,0,0,2,ham
52,0,0,1,ham
108,0,2,1,ham
141,0,1,2,ham
92,0,0,2,ham
163,0,0,4,ham
107,0,1,2,ham
27,0,0,1,ham
12,0,0,1,ham
129,0,3,2,ham
126,0,2,2,ham
65,0,0,1,ham
46,0,1,1,ham
119,0,1,3,ham
16,0,1,1,ham
86,0,2,2,ham
107,0,2,1,ham
137,0,3,2,ham
78,0,1,1,ham
10,0,0,1,ham
129,0,0,2,ham
19,0,1,1,ham
98,0,3,1,ham
146,0,1,5,ham
89,0,0,2,ham
85,0,0,2,ham
151,0,0,2,ham
34,0,2,1,ham
108,0,3,2,ham
165,0,3,2,ham
39,0,0,1,ham
158,0,4,3,ham
46,0,0,1,ham
94,0,0,2,ham
50,0,0,1,ham
152,0,0,3,ham
17,0,1,1,ham
141,0,2,2,ham
27,0,0,1,ham
116,0,0,1,ham
51,0,0,1,ham
146,0,0,2,ham
27,0,0,1,ham
78,0,0,1,ham
56,0,1,1,ham
86,2,3,1,ham
165,0,10,2,ham
38,0,0,1,ham
46,0,0,1,ham
137,0,0,2,ham
76,0,0,2,ham
59,0,0,1,ham
31,0,0,1,ham
37,0,0,2,ham
143,0,1,2,ham
57,0,1,1,ham
